,text,sentiment
0,"""Nie polecam.Lodówka z tyłu podklejonataśmą.Jak można taki towar dostarczyć do klienta. """,negative
1,"""Lodówka super (Niestety obsługa w sklepie niekompetentna Lodówka zamówiona na konkretny dzień do starszej osoby przyszła dzień wcześniej (mimo próśb że nie będzie miał jej kto odebrać) Firmia kurierska zauważyla że lodówka jest wgnieciona i przywieziono nową za dwa dni.) """,negative
2,"""W ofercie sprzedaży sprzedający wyraźnie wskazał, że sprzedaje Google Nest Hub. Jakież moje było zdziwienie gdy został dostarczony Google Hub. Uważajcie co kupujecie w OleOle. Po drugie - przez dwa dni brak odpowiedzi na mój email w sprawie rozwiązania problemu. Podsumowując - Nie polecam. """,negative
3,"""Skandaliczna obsługa dostawców - co ważne są oni pracownikami Euro-AGD czyli oleole. I naprawdę najgorszym nie było to, że Panowie wyglądali jak kuracjusze z ZK, ani też to, że czuć było od  nich ordynarną mieszanką wódy zwanej klinem i  już przetrawionej z wczoraj. Najgorszym też, nie było, to, że planowali zostawić SUSZARKĘ BĘBNOWĄ na chodniku przed budynkiem jakieś z 40 m od drzwi NAJGORSZE jest to, że OLEOLE nic z tym nie robi, ba dostawcy zachowali się zgodnie z wytycznymi! NIE polecam""",negative
4,"""Otrzymałem zamówiony dzbanek filtrujący oznaczony jako nowy, w zniszczonym opakowaniu (porozrywane i zgniecione firmowe opakowanie) - wygląda to tragicznie. Przesyłka kurierska w dobrym stanie, zatem to sklep świadomie wysłał mi towar w zniszczonym opakowaniu. Nie spodziwałem się że tak renomowany sprzedawca może wysłać towar w takim stanie klientowi. Powinien on raczej trafić na jakąś przecenę jako niepełnowartościowy. Nie przyjmuję tłumaczenia że mogę to teraz odesłać na własny koszt. Żenada.""",negative
5,"""bardzo długi czas oczekiwania """,negative
6,"""Tydzień oczekiwania na przesyłkę, która nie przyjechała. Sklep nie poinformował, że nie jest w stanie przekazać wysyłki w tym rozmiarze do zewnętrznego punktu odbioru. Dopiero interwencja na infolinii wyjaśniła sprawę""",negative
7,"""Dostawa darmowa, ale już o tym że wniesienie odbywa się we własnym zakresie to nie było mowy. Dostawca bez ogródek zwrócił przedmiot. Nie było możliwości wyboru innego terminu dostawy. Infolinia i dostawca maja klienta w d****.""",negative
8,"""Absolutnie zalose w jaki sposob towar zostal zapakowany. Pudelko puste w srodku, a samo opakowanie ze sprzetem obijalo sie o scianki kartonu. Rozumiem, ze wszedzie szuka sie oszczednosci, ale to po prostu przekracza granice rozsadku. Nie polecam. Nie tak wyobrazam sobie powaznego sprzedawce. """,negative
9,"""Otrzymałem uszkodzony towar.  Zwrot deski do prasowania jest dość kłopotliwy.  Po 2 tygodniach i interwenci Allegro otrzymałem zwrot części pieniędzy. Nie polecam. """,negative
